期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
棕榈油2309,p2309,2023-06-26 22:00,7092,7198,7216,7092,235994,16949664540,1.74,1.07,76.0,0.0
棕榈油2309,p2309,2023-06-26 23:00,7198,7166,7198,7160,119729,8596656680,0.53,-0.44,-32.0,0.0
棕榈油2309,p2309,2023-06-27 10:00,7172,7176,7186,7114,144149,10307699920,1.0,0.14,10.0,0.0
棕榈油2309,p2309,2023-06-27 11:15,7176,7206,7212,7162,99202,7131922300,0.7,0.42,30.0,0.0
棕榈油2309,p2309,2023-06-27 14:15,7206,7240,7250,7194,131516,9492795200,0.78,0.47,34.0,0.0
棕榈油2309,p2309,2023-06-27 15:00,7240,7156,7244,7154,126199,9077644780,1.24,-1.16,-84.0,0.0
