期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜油309,OI309,2023-06-26 22:00,8541,8687,8714,8541,206456,17895606080,2.0,0.66,57.0,0.0
菜油309,OI309,2023-06-26 23:00,8686,8654,8697,8654,107539,9327760420,0.49,-0.38,-33.0,0.0
菜油309,OI309,2023-06-27 10:00,8665,8635,8665,8601,124182,10718379930,0.74,-0.22,-19.0,0.0
菜油309,OI309,2023-06-27 11:15,8636,8644,8654,8606,71527,6173134770,0.56,0.1,9.0,0.0
菜油309,OI309,2023-06-27 14:15,8644,8687,8703,8640,102859,8926948970,0.73,0.5,43.0,0.0
菜油309,OI309,2023-06-27 15:00,8686,8583,8687,8575,115777,9974146630,1.29,-1.2,-104.0,0.0
