期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜油309,OI309,2023-07-19 13:55,9720,9721,9726,9717,7540,733491200,0.09,0.0,0.0,0.0
菜油309,OI309,2023-07-19 14:00,9719,9717,9722,9688,23702,2305730560,0.35,-0.04,-4.0,0.0
菜油309,OI309,2023-07-19 14:05,9717,9690,9723,9670,30642,2965150980,0.55,-0.28,-27.0,0.0
菜油309,OI309,2023-07-19 14:10,9692,9675,9698,9673,22297,2160531860,0.26,-0.15,-15.0,0.0
菜油309,OI309,2023-07-19 14:15,9674,9662,9676,9656,25691,2481787210,0.21,-0.13,-13.0,0.0
菜油309,OI309,2023-07-19 14:20,9661,9659,9665,9651,19020,1840793130,0.14,-0.03,-3.0,0.0
菜油309,OI309,2023-07-19 14:25,9659,9664,9668,9654,14321,1383622940,0.14,0.05,5.0,0.0
菜油309,OI309,2023-07-19 14:30,9664,9665,9682,9662,15210,1469747320,0.21,0.01,1.0,0.0
菜油309,OI309,2023-07-19 14:35,9666,9674,9677,9654,16963,1639817190,0.24,0.09,9.0,0.0
菜油309,OI309,2023-07-19 14:40,9673,9657,9680,9656,14300,1380687590,0.25,-0.18,-17.0,0.0
菜油309,OI309,2023-07-19 14:45,9657,9639,9661,9628,22747,2191839700,0.34,-0.19,-18.0,0.0
菜油309,OI309,2023-07-19 14:50,9638,9653,9653,9635,12931,1246889770,0.19,0.15,14.0,0.0
菜油309,OI309,2023-07-19 14:55,9653,9656,9664,9649,12243,1179798830,0.16,0.03,3.0,0.0
菜油309,OI309,2023-07-19 15:00,9656,9645,9656,9639,14358,1384983920,0.18,-0.11,-11.0,0.0
